"Lleyton Hewitt","Roger Federer",16,10
"Roger Federer","Jeremy Chardy",18,13
"Lleyton Hewitt","Kei Nishikori",17,14
"Roger Federer","Marinko Matosevic",12,2
"Kei Nishikori","Marin Cilic",17,13
"Roger Federer","Jarkko Nieminen",12,6
"Kei Nishikori","Matthew Ebden",12,6
"Marius Copil","Gilles Simon",13,8
"Marin Cilic","Grigor Dimitrov",14,10
"Lleyton Hewitt","Feliciano Lopez",13,8
"Grigor Dimitrov","Robin Haase",12,5
"Feliciano Lopez","Mikhail Kukushkin",12,8
"Jeremy Chardy","Adrian Mannarino",14,11
"Marin Cilic","Denis Istomin",19,17
"Stan Wawrinka","Edouard Roger-Vasselin",13,7
"Stan Wawrinka","Vasek Pospisil",6,4
"Stan Wawrinka","Aljaz Bedene",12,3
"Stan Wawrinka","Benjamin Becker",12,4
"Yuki Bhambri","Fabio Fognini",6,1
"Benoit Paire","Guillermo Garcia-Lopez",12,5
"Edouard Roger-Vasselin","Albert Ramos-Vinolas",12,4
"Alexander Kudryavtsev","Roberto Bautista Agut",15,13
"Guillermo Garcia-Lopez","Aleksandr Nedovyesov",13,5
"Rafael Nadal","Gael Monfils",18,10
"Rafael Nadal","Peter Gojowczyk",16,11
"Gael Monfils","Florian Mayer",12,5
"Rafael Nadal","Ernests Gulbis",13,9
"Gael Monfils","Daniel Brands",12,3
"Rafael Nadal","Tobias Kamke",18,13
"Daniel Brands","David Ferrer",13,9
"Florian Mayer","Andy Murray",15,12
"Gael Monfils","Richard Gasquet",13,7
"Peter Gojowczyk","Philipp Kohlschreiber",14,12
"Dustin Brown","Ivo Karlovic",16,16
"Rafael Nadal","Lukas Rosol",13,8
"David Ferrer","Alexandr Dolgopolov",17,13
"Andy Murray","Mousa Shanan Zayed",12,0
"Ivo Karlovic","Tomas Berdych",14,12
"Richard Gasquet","Karim Hossam",13,6
"Philipp Kohlschreiber","Pablo Andujar",13,8
"Peter Gojowczyk","Dominic Thiem",13,5
"Victor Hanescu","Joao Sousa",12,5
"Gael Monfils","Santiago Giraldo",13,8
"Dominic Thiem","Matthias Bachinger",13,10
