"day","winner_name","loser_name","winner_games_won","loser_games_won"
69795,"Andre Agassi","Jeff Tarango",13,9
69795,"Andre Agassi","Kevin Curren",12,6
69795,"Andre Agassi","Udo Riglewski",15,13
69795,"Brad Gilbert","Andre Agassi",12,3
69802,"Christian Saceanu","Andre Agassi",13,9
69823,"Andre Agassi","Goran Prpic",12,7
69823,"Jim Courier","Andre Agassi",14,13
69834,"Andre Agassi","Fabrice Santoro",18,17
69834,"Andre Agassi","Magnus Gustafsson",19,14
69834,"David Wheaton","Andre Agassi",13,5
69851,"Andre Agassi","Brian Garrow",12,6
69851,"Andre Agassi","Chuck Adams",13,10
69851,"Andre Agassi","David Engel",12,8
69851,"Andre Agassi","Derrick Rostagno",13,11
69851,"Andre Agassi","MaliVai Washington",13,10
69858,"Andre Agassi","Aki Rahunen",12,5
69858,"Andre Agassi","Goran Prpic",19,16
69858,"Guillermo Perez-Roldan","Andre Agassi",19,13
69872,"Horst Skoff","Andre Agassi",18,10
69893,"Eric Jelen","Andre Agassi",13,9
69907,"Andre Agassi","Alberto Mancini",23,14
69907,"Andre Agassi","Boris Becker",22,15
69907,"Andre Agassi","Jakob Hlasek",18,5
69907,"Andre Agassi","Marc Rosset",22,18
69907,"Andre Agassi","Patrick McEnroe",18,4
69907,"Andre Agassi","Petr Korda",18,5
69907,"Jim Courier","Andre Agassi",23,21
69935,"Andre Agassi","Goran Prpic",22,18
69935,"Andre Agassi","Grant Connell",29,22
69935,"Andre Agassi","Jacco Eltingh",21,16
69935,"Andre Agassi","Richard Krajicek",20,15
69935,"David Wheaton","Andre Agassi",22,22
69956,"Andre Agassi","Chuck Adams",12,4
69956,"Andre Agassi","David Pate",12,7
69956,"Andre Agassi","Jaime Yzaga",12,5
69956,"Andre Agassi","Johan Carlsson",13,7
69956,"Andre Agassi","Petr Korda",12,7
69963,"Petr Korda","Andre Agassi",13,8
69977,"Andre Agassi","Petr Korda",15,13
69977,"Brad Gilbert","Andre Agassi",19,17
69984,"Andre Agassi","Kent Kinnear",14,11
69984,"Fabrice Santoro","Andre Agassi",15,13
69998,"Aaron Krickstein","Andre Agassi",20,13
70033,"Andre Agassi","Jason Stoltenberg",12,4
70033,"Andre Agassi","MaliVai Washington",12,4
70033,"Goran Ivanisevic","Andre Agassi",14,11
70040,"Andre Agassi","Jeff Tarango",13,10
70040,"Andre Agassi","Luis Herrera",13,6
70040,"Goran Ivanisevic","Andre Agassi",12,7
70076,"Andre Agassi","Boris Becker",13,8
70076,"Andre Agassi","Michael Stich",13,8
70076,"Jim Courier","Andre Agassi",13,8
70076,"Pete Sampras","Andre Agassi",13,12
70159,"Jakob Hlasek","Andre Agassi",12,3
70166,"Alexander Volkov","Andre Agassi",13,9
